2018-12-25 10:36:51,180 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.wltea.analyzer:ik-analyzer:jar:5.3.0 is missing, no dependency information available
2018-12-25 10:36:53,143 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 10:36:53,168 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-12-25 10:36:53,247 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 10:36:53,249 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-25 10:36:55,047 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 10:36:55,054 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-25 10:36:55,056 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 10:36:55,057 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-25 13:07:06,774 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 13:07:06,775 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-25 13:07:06,777 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 13:07:06,777 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-25 13:07:31,930 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 13:07:31,931 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-25 13:07:31,933 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 13:07:31,934 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-25 14:08:32,470 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 14:08:32,471 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-25 14:08:32,473 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 14:08:32,474 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-25 14:51:24,143 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 14:51:24,144 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-25 14:51:24,147 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 14:51:24,147 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-25 14:55:37,294 [Worker-91] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 14:55:37,295 [Worker-91] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-25 14:55:37,297 [Worker-91] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-25 14:55:37,299 [Worker-91] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-26 09:24:41,122 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.wltea.analyzer:ik-analyzer:jar:5.3.0 is missing, no dependency information available
2018-12-26 09:24:46,520 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-26 09:24:46,591 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-12-26 09:24:46,660 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-26 09:24:46,661 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-27 14:37:22,457 [Worker-95] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\android1808\dubboInterface\pom.xml
2018-12-27 14:37:24,633 [Worker-95] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.tedu:dubboInterface:0.0.1-SNAPSHOT @ D:\android1808\dubboInterface\pom.xml.
2018-12-27 14:37:27,455 [Worker-95] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.wltea.analyzer:ik-analyzer:jar:5.3.0 is missing, no dependency information available
2018-12-27 14:37:28,881 [Worker-95] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /dubboInterface/src/main/java
2018-12-27 14:37:28,884 [Worker-95] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /dubboInterface/src/test/java
2018-12-27 14:37:29,010 [Worker-95] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 6 sec
2018-12-27 14:37:30,430 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:37:30,431 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\main\resources
2018-12-27 14:37:30,434 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:37:30,434 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\test\resources
2018-12-27 14:37:30,537 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-27 14:37:30,547 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-12-27 14:37:30,552 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-27 14:37:30,553 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-27 14:37:57,316 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:37:57,317 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\main\resources
2018-12-27 14:37:57,317 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:37:57,318 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\test\resources
2018-12-27 14:39:02,561 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:39:02,561 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\main\resources
2018-12-27 14:39:02,563 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:39:02,563 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\test\resources
2018-12-27 14:39:18,984 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:39:18,984 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\main\resources
2018-12-27 14:39:18,986 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:39:18,987 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\test\resources
